year,state,Auto,Bus,Truck,Motorcycle
1924,Alaska,0.0,0.0,0.0,0.0
1924,Arizona,50233.0,0.0,7595.0,372.0
1924,Arkansas,125368.0,0.0,16615.0,295.0
1924,California,1145256.0,0.0,180000.0,12325.0
1924,Colorado,187647.0,0.0,25600.0,2226.0
1924,Connecticut,183562.0,0.0,33785.0,4211.0
1924,Delaware,29075.0,0.0,6061.0,325.0
1924,District of Columbia,78846.0,0.0,9916.0,1889.0
1924,Florida,160936.0,0.0,34192.0,733.0
1924,Georgia,181413.0,0.0,26275.0,750.0
1924,Hawaii,0.0,0.0,0.0,0.0
1924,Idaho,61600.0,0.0,7627.0,619.0
1924,Illinois,978428.0,0.0,140808.0,6873.0
1924,Indiana,566736.0,0.0,84969.0,4822.0
1924,Iowa,576704.0,0.0,41674.0,2597.0
1924,Kansas,370951.0,0.0,39940.0,1632.0
1924,Kentucky,206529.0,0.0,23275.0,724.0
1924,Louisiana,150900.0,0.0,27100.0,510.0
1924,Maine,108177.0,0.0,19421.0,1288.0
1924,Maryland,173215.0,0.0,25250.0,3462.0
1924,Massachusetts,488489.0,0.0,83626.0,10778.0
1924,Michigan,784778.0,0.0,83809.0,3644.0
1924,Minnesota,445437.0,0.0,58000.0,3080.0
1924,Mississippi,122117.0,0.0,12563.0,96.0
1924,Missouri,489356.0,0.0,51144.0,2139.0
1924,Montana,69824.0,0.0,9871.0,293.0
1924,Nebraska,277449.0,0.0,31266.0,1342.0
1924,Nevada,16236.0,0.0,1883.0,111.0
1924,New Hampshire,64170.0,0.0,7759.0,1750.0
1924,New Jersey,404929.0,0.0,99541.0,8053.0
1924,New Mexico,35380.0,0.0,6300.0,228.0
1924,New York,1181127.0,0.0,236012.0,19837.0
1924,North Carolina,276148.0,0.0,27480.0,1029.0
1924,North Dakota,112664.0,0.0,4682.0,509.0
1924,Ohio,1076800.0,0.0,164800.0,15000.0
1924,Oklahoma,342856.0,0.0,27047.0,733.0
1924,Oregon,169629.0,0.0,23000.0,2764.0
1924,Pennsylvania,1050465.0,0.0,178380.0,17540.0
1924,Rhode Island,78235.0,0.0,17247.0,1428.0
1924,South Carolina,147143.0,0.0,15172.0,477.0
1924,South Dakota,131190.0,0.0,11206.0,305.0
1924,Tennessee,183891.0,0.0,20789.0,682.0
1924,Texas,739439.0,0.0,62875.0,2634.0
1924,Utah,60362.0,0.0,8921.0,731.0
1924,Vermont,57072.0,0.0,4107.0,779.0
1924,Virginia,220302.0,0.0,41643.0,3000.0
